2025/06/16 02:09:23.237555 [Debug] app/log: Logger started
2025/06/16 02:09:23.237633 [Debug] app/proxyman/inbound: creating stream worker on 0.0.0.0:443
2025/06/16 02:09:23.237644 [Debug] app/proxyman/inbound: creating stream worker on 127.0.0.1:10808
2025/06/16 02:09:23.241086 [Info] transport/internet/websocket: listening TCP(for WS) on 0.0.0.0:443
2025/06/16 02:09:23.405536 [Info] transport/internet/tcp: listening TCP on 127.0.0.1:10808
2025/06/16 02:09:23.406548 [Info] transport/internet/udp: listening UDP on 127.0.0.1:10808
2025/06/16 02:09:23.406568 [Warning] core: Xray 25.6.8 started
2025/06/16 02:10:11.205190 [Debug] app/log: Logger closing
2025/06/16 02:10:58.801148 [Debug] app/log: Logger started
2025/06/16 02:10:58.801197 [Debug] app/proxyman/inbound: creating stream worker on 0.0.0.0:443
2025/06/16 02:10:58.801211 [Debug] app/proxyman/inbound: creating stream worker on 127.0.0.1:10808
2025/06/16 02:10:58.801630 [Info] transport/internet/websocket: listening TCP(for WS) on 0.0.0.0:443
2025/06/16 02:10:58.849143 [Info] transport/internet/tcp: listening TCP on 127.0.0.1:10808
2025/06/16 02:10:58.849171 [Info] transport/internet/udp: listening UDP on 127.0.0.1:10808
2025/06/16 02:10:58.849177 [Warning] core: Xray 25.6.8 started
2025/06/16 02:16:59.383299 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:59.393566 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:59.683683 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:16:59.701474 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:17:00.014552 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:17:00.149273 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:17:00.317104 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:17:00.328320 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:17:00.399388 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:17:00.626968 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:17:00.667878 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:17:00.700786 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:17:00.768549 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:17:00.933792 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:17:01.007458 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:17:01.249064 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:17:01.572147 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:17:01.703567 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:17:01.886044 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:17:01.889553 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:17:02.018786 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:17:02.055393 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:17:02.142934 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:17:02.181881 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:17:02.211978 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:17:02.484436 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:17:02.498919 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:17:02.588727 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:17:02.715375 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:17:02.797774 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:17:03.097935 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:17:03.350818 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:17:03.410542 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:17:03.499627 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:17:04.270220 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:17:04.277134 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:17:04.378803 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:17:04.588784 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:17:04.590591 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:17:04.685371 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:17:04.847386 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:17:04.900941 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:17:05.008229 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:17:05.221805 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
2025/06/16 02:17:05.538094 [Info] transport/internet/websocket: failed to validate host, request:indonesia.server2.anonixvpn.space, config:united-kingdom.anonixvpn.space
